Industry,Company,Website Link,PDF Link: Root,https://drive.google.com/drive/folders/1nrBJbKKmZxfzHkyqaOWeqjx0fKwKFLjK?usp=drive_link
Technology,Apple,https://www.apple.com/legal/privacy/en-ww/,https://drive.google.com/drive/folders/1IfS2hSGo5_4uYDFpUnv7qYI6-mRz2ObZ?usp=drive_link,
,Microsoft,https://privacy.microsoft.com/en-us/privacystatement,,
,Alphabet (Google),https://policies.google.com/privacy?hl=en-US,,
,Facebook (Meta),https://www.facebook.com/privacy/policy/,,
,Adobe Systems,https://www.adobe.com/privacy/policy.html,,
Financial Services,JPMorgan Chase,https://www.jpmorgan.com/privacy,https://drive.google.com/drive/folders/1RtI0U9jBZDlxVslZjtaQcQ5mc1dRL84R?usp=drive_link,
,Berkshire Hathaway,https://www.bhspecialty.com/privacy-policy/,,
,State Farm,https://www.statefarm.com/customer-care/privacy-security/privacy,,
,Bank of America,https://www.bankofamerica.com/security-center/privacy-overview/,,
,Visa,https://usa.visa.com/legal/global-privacy-notice.html,,
Energy,ExxonMobil,https://corporate.exxonmobil.com/global-legal-pages/privacy-policy,https://drive.google.com/drive/folders/1pTjJpMEPAw6Mii_j8-936f8LTzJHMb75?usp=drive_link,
,Chevron,https://www.chevron.com/privacy,,
,BP,https://www.bp.com/content/dam/bp/country-sites/en_us/united-states/home/documents/who-we-are/privacy-statement.pdf,,
,Shell,https://www.shell.com/privacy.html,,
,TotalEnergies,"https://totalenergies.com/privacy#:~:text=itcannot%20be%20executed.-,Your%20data%20is%20kept%20for%20a%20maximum%20period%20of%20three,an%20intermediate%20archive%20if%20necessary.&text=The%20processing%20of%20your%20data%20is%20based%20on%20our%20legitimate%20interest.,-Your%20data%20is",,
Retail,Walmart,https://corporate.walmart.com/privacy-security/walmart-privacy-notice,https://drive.google.com/drive/folders/1nlbJ7myRcrQ9waOzg44XFV0XUCF-00ug?usp=drive_link,
,Amazom,https://www.amazon.com/gp/help/customer/display.html?nodeId=GX7NJQ4ZB8MHFRNJ,,
,Costco,https://www.costco.com/privacy-policy.html,,
,Target,https://tgtfiles.target.com/connected/ConnectedPrv.html,,
,Home Depot,https://www.homedepot.com/privacy/privacy-and-security-statement,,
Healthcare,CVS Health,https://www.cvs.com/retail/help/privacy_policy,https://drive.google.com/drive/folders/1i8B_hU9XRByg-vbhinnF1Bi0R6dUnomC?usp=drive_link,
,UnitedHealth Group,https://www.unitedhealthgroup.com/privacy.html,,
,Cardinal Health,https://www.cardinalhealth.com/en/support/privacy-policy.html,,
,Johnson & Johnson,https://www.jnj.com/corporate/privacy-policy,,
,Pfizer,https://www.pfizer.com/privacy,,
Automotive,General Motors,https://www.gm.com/privacy-statement,https://drive.google.com/drive/folders/1dmhbRMDwYhKOkelgrRxV7BXm-F_LEE4G?usp=drive_link,
,Ford,https://www.ford.com/help/privacy/#USprivacypolicy,,
,Tesla,https://www.tesla.com/legal/privacy,,
,Toyota Motor,https://www.toyota.com/support/privacy-notice/,,
,Volkswagen,https://www.vw.com/en/privacy.html,,
TeleCommunications,AT&T,https://about.att.com/privacy/privacy-notice.html,https://drive.google.com/drive/folders/1kXySzGMGoNTugm013utTn7op7vtW_kb1?usp=drive_link,
,Verizon Communications,https://www.verizon.com/about/privacy/full-privacy-policy,,
,T-mobile US,https://www.t-mobile.com/privacy-center/privacy-notices/t-mobile-privacy-notice,,
,(NTT) Nippon Telegraph and Telephone ,https://group.ntt/en/privacy/,,
,Spectrum,https://www.spectrum.com/policies/privacy-policy,,
Consumer Goods,(P&G) Procter & Gamble,https://privacypolicy.pg.com/en-US/,https://drive.google.com/drive/folders/1V0AKqidVFpR04CTo0EOns1d6lELjznsc?usp=drive_link,
,Coca-Cola,https://www.coca-colacompany.com/policies-and-practices/privacy-policy,,
,PepsiCo,https://www.pepsico.com/legal/privacy,,
,Nestle,https://www.nestle.com/info/privacy/privacy-notice,,
,Unilever,https://www.unilevernotices.com/privacy-notices/usa-english.html,,
Industrial,Boeing,https://www.boeing.com/privacy-and-cookie-policy,https://drive.google.com/drive/folders/1GkfiVjg7vfUqDiBcEhwEK0eI0XaUyREc?usp=drive_link,
,Caterpillar,https://www.caterpillar.com/en/legal-notices/dataprivacy.html,,
,3M,https://www.3m.com/3M/en_US/company-us/privacy-policy/,,
,Siemens,https://www.sw.siemens.com/en-US/privacy-policy/,,
,General Electric (GE),https://www.ge.com/privacy,,
Food & Beverage,Danone,https://www.danone.com/footer/privacy.html,https://drive.google.com/drive/folders/18JspXoyYwPwvF8ktBD55sFSGd9bRhaOG?usp=drive_link,
,Tyson Foods,https://www.tyson.com/privacy-policy/,,
,Mondelez,https://www.mondelezinternational.com/privacy-policy/,,
,Kraft Heinz,https://www.kraftheinz.com/privacy-policy,,
,General Mills,https://www.generalmills.com/privacy-security/us-english-privacy-policy,,